ZONE T="boundary0"
-3.63 0 
-3.267 0 
-2.904 0 
-2.541 0 
-2.178 0 
-1.815 0 
-1.452 0 
-1.089 0 
-0.726 0 
-0.363 0 
0 0 
0.363 0 
0.726 0 
1.089 0 
1.452 0 
1.815 0 
2.178 0 
2.541 0 
2.904 0 
3.267 0 
3.63 0 
ZONE T="boundary1"
3.63 0 
3.63 0.2565 
3.63 0.513 
3.63 0.7695 
3.63 1.026 
3.63 1.2825 
3.63 1.539 
3.63 1.7955 
3.63 2.052 
3.63 2.3085 
3.63 2.565 
3.63 2.8215 
3.63 3.078 
3.63 3.3345 
3.63 3.591 
3.63 3.8475 
3.63 4.104 
3.63 4.3605 
3.63 4.617 
3.63 4.8735 
3.63 5.13 
ZONE T="boundary2"
-3.63 5.13 
-3.267 5.13 
-2.904 5.13 
-2.541 5.13 
-2.178 5.13 
-1.815 5.13 
-1.452 5.13 
-1.089 5.13 
-0.726 5.13 
-0.363 5.13 
0 5.13 
0.363 5.13 
0.726 5.13 
1.089 5.13 
1.452 5.13 
1.815 5.13 
2.178 5.13 
2.541 5.13 
2.904 5.13 
3.267 5.13 
3.63 5.13 
ZONE T="boundary3"
-3.63 0 
-3.63 0.2565 
-3.63 0.513 
-3.63 0.7695 
-3.63 1.026 
-3.63 1.2825 
-3.63 1.539 
-3.63 1.7955 
-3.63 2.052 
-3.63 2.3085 
-3.63 2.565 
-3.63 2.8215 
-3.63 3.078 
-3.63 3.3345 
-3.63 3.591 
-3.63 3.8475 
-3.63 4.104 
-3.63 4.3605 
-3.63 4.617 
-3.63 4.8735 
-3.63 5.13 
